1636738303769651000,380,261,143,194
1636738303769651000,319,73,41,39
1636738303769651000,258,77,45,33
1636738303879021100,379,261,147,193
1636738303879021100,319,73,41,39
1636738303879021100,258,77,45,33
1636738303988389800,379,261,147,192
1636738303988389800,319,73,41,39
1636738303988389800,258,77,45,33
1636738304097761800,380,258,142,198
1636738304097761800,319,73,41,39
1636738304097761800,258,77,45,33
1636738304207133900,381,259,141,197
1636738304207133900,319,73,41,39
1636738304207133900,258,77,45,33
1636738304316504300,381,258,141,198
1636738304316504300,319,73,41,39
1636738304316504300,258,77,45,33
1636738304425875300,381,258,141,197
1636738304425875300,319,73,41,39
1636738304425875300,258,77,45,33
1636738304535246400,382,259,139,197
1636738304535246400,318,75,41,37
1636738304535246400,256,77,44,33
1636738304644618800,381,258,139,198
1636738304644618800,315,74,46,38
1636738304644618800,256,77,44,33
1636738304753992200,380,258,139,198
1636738304753992200,315,74,46,38
1636738304753992200,256,77,44,33
1636738304863363300,378,261,144,194
1636738304863363300,316,76,44,36
1636738304863363300,256,77,44,33
1636738304972734300,378,259,140,198
1636738304972734300,256,77,44,33
1636738304972734300,326,77,34,35
1636738305082105800,379,260,139,198
1636738305082105800,256,77,44,33
1636738305082105800,330,77,31,35
1636738305191476000,377,261,144,197
1636738305191476000,256,77,44,33
1636738305191476000,330,77,31,35
1636738305300848300,379,261,140,196
1636738305300848300,255,77,44,33
1636738305300848300,331,77,31,35
1636738305410218400,381,265,139,194
1636738305410218400,256,77,44,33
1636738305410218400,326,77,34,35
1636738305519590400,378,268,144,191
1636738305519590400,316,76,44,36
1636738305519590400,256,77,44,33
1636738305628962600,380,268,141,191
1636738305628962600,316,76,44,36
1636738305628962600,256,77,44,33
1636738305738334600,379,269,143,190
1636738305738334600,316,76,44,36
1636738305738334600,256,77,44,33
1636738305847705300,381,271,141,188
1636738305847705300,316,75,44,37
1636738305847705300,256,77,44,33
1636738305957076800,378,272,148,189
1636738305957076800,315,74,45,38
1636738305957076800,256,77,44,33
1636738306066447700,379,272,148,189
1636738306066447700,321,76,40,36
1636738306066447700,257,77,42,33
1636738306175819700,378,272,148,191
1636738306175819700,317,75,44,37
1636738306175819700,257,77,42,33
1636738306285188400,380,274,146,187
1636738306285188400,321,75,40,37
1636738306285188400,257,77,42,33
1636738306394561300,378,272,149,189
1636738306394561300,322,76,39,36
1636738306394561300,257,77,42,33
1636738306503931300,381,268,143,193
1636738306503931300,256,77,42,34
1636738306503931300,324,76,37,36
1636738306613304800,381,267,143,194
1636738306613304800,257,75,42,35
1636738306613304800,331,77,29,35
1636738306722673500,380,267,143,196
1636738306722673500,257,75,42,35
1636738306722673500,330,77,30,35
1636738307113286400,378,265,146,193
1636738307113286400,320,74,40,38
1636738307113286400,257,76,43,35
1636738307222657000,378,265,146,192
1636738307222657000,257,76,42,34
1636738307222657000,327,73,34,37
1636738307332030400,377,265,146,192
1636738307332030400,257,76,42,35
1636738307332030400,326,74,35,38
